Attraction Name,Category,Destination,Details,Mood,Image,destination_normalized,name_normalized,district_normalized
Katugas Ella Waterfall,Scenic,Rathnapura,A beautiful place. Unruly people have polluted the environment. Only at the base of the falls is very steep. It's a popular local spot for a refreshing bath or swim.,Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLZd9ejPL9ikFMZsEm7mMzvBIrNU9_zHwip_RclIGl-A&s=10,rathnapura,katugas ella waterfall,Ratnapura
Kayman's Gate,Essence,Colombo,"This is a very important historical site. But this place does not seem to be running smoothly. This place is important for tourists as well as those who study history. It draws a steady stream of local visitors, especially on weekends.",Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSIwl6G5Ta5L-iko1omkhL7h8mkokXPRVbxobLEIiMvSQ&s=10,colombo,kayman s gate,Colombo
Kelaniya Raja Maha Viharaya,Heritage,Colombo,"One of very important Temple in Kelaniya area located 30 minutes drive from Colombo City. Buddhist people believe that Lord buddha made third and the last visit of Sri Lanka to this temple. Very calm place. It remains a relatively quiet, less-touristy spot.",Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTyIccdtmm0EoO8ZWeFVBP9y7p_94sGxxj3H8Ctsr_Efg&s=10,colombo,kelaniya raja maha viharaya,Colombo
Kiddies paradise children's park,Essence,Matale,"Kiddies Paradise Children’s Park is a playground and children’s entertainment park situated in Matale. It is a good place to relax and enjoy with friends and family, especially with kids. This playground is a place where many of the locals come to hang out. It draws a steady stream of local visitors, especially on weekends.",Relaxed,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7-PmZcW0p50ALNooGHEVy5Qe77C7hp3bnTvbgspNFvw&s=10,matale,kiddies paradise children s park,Matale
Kirala Kele Sanctuary,Wild,Matara,"It is a hidden gem in Matara, just a few kilometers away from the town. The sanctuary covers about 750 acres of mangrove forests, marshlands, irrigation tanks and canals. It is home to many species of plants, animals and birds, some of. It remains a relatively quiet, less-touristy spot.",Adventure,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSJzEgg3Cvfd9oQMRQ6LLU88yTED6bZdH3-G6VZiDdF1Q&s=10,matara,kirala kele sanctuary,Matara
Kirinda Beach,Pristine,Hambantota,"Kirinda is situated south of Sri Lanka close to yala national park. This is a popular beach venue for thousands of devotees who go on pilgrimage to katharagama, the place of worship, south of Sri Lanka where all sri Lankans visit to religiously regardless of their religion or creed. Nice beach. Visitors are advised to take care underfoot, as conditions can be slippery.",Relaxed,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQjXhaWUo4zvRWVL7g5JyrfpQUYKQg6mNrjp7xYMxZgIA&s=10,hambantota,kirinda beach,Hambantota
Kirindi Ella Waterfall,Scenic,Rathnapura,This is a beautiful place in Sri Lanka. This photo was taken at time of a draught. But when there is rain this waterfall truly a wonder. It's a popular local spot for a refreshing bath or swim.,Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT6H_D7gPSnUa-pmawqSeKGvYbvnreJMRQl2fI4DczFFg&s=10,rathnapura,kirindi ella waterfall,Ratnapura
Kolapathana waterfall,Scenic,Hatton,One of the unique cascaded waterfall located at Mandaram Nuwara. Waterfall is seen about 2km walking distance. No need any permission and fall is full of water throughout the entire year. It's a popular local spot for a refreshing bath or swim.,Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlVvBHvdbzLI3fW5gGMYKGaIJfUmvzYy-7Zgys5Y4LRg&s=10,hatton,kolapathana waterfall,Hatton
Kombukara Nature Pool and Secre,Scenic,Badulla,"Beautiful small waterfall that invites you to swim. There's an option to climb over rocks to 2 higher levels where one can also swim very well. The water is clear and cool. Visitors are advised to take care underfoot, as conditions can be slippery.",Peaceful,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4TvPgpeFGQYzyvn-EUYmtpyarK-L8-kFoZiyWZEq1wA&s=10,badulla,kombukara nature pool and secre,Badulla
Kurunagela camp site,Essence,Kurunagela,The location is good and isolated. I went to an OBT there for 2 days which was on a satisfactory level. Even though the accommodation facilities are yet to improve overall is good.,Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrWg2LQ3eSmXndWFUDKR6dwYuecPtr-FU7HQn02PrBAQ&s=10,kurunagela,kurunagela camp site,Kurunegala
Kurunagela clock tower,Heritage,Kurunagela,"The Kurunegala Clock Tower is located in the heart of Kurunegala, Sri Lanka. The clock tower was built in 1922 in memory of the soldiers who participated in World War I and World War II from North Western Province and died. The Kurunegala Court of Law, The Central Market and the Central Bus Stand are also near the clock tower.",Curious,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRN38nbnaqSmefDywsOnI2yshe5lmqQVAeVxL8eVLsJCQ&s=10,kurunagela,kurunagela clock tower,Kurunegala
Kurunagela lake jogging path,Essence,Kurunagela,"The Kurunegala Lake jogging track is a fantastic place for runners of all levels. Located alongside the serene Kurunegala Lake, this track offers a picturesque and serene environment that makes every run enjoyable. It draws a steady stream of local visitors, especially on weekends.",Relaxed,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4gVLYT6WzBcELX0L4knbh8MSeqrTJ5scXD5Fj3oJLrQ&s=10,kurunagela,kurunagela lake jogging path,Kurunegala
